file,group,speaker,session,utterance,language,text
../../data/torgo-audio/F_Dys/wav_arrayMic_F04S02/wav_arrayMic_F04S02_0001.wav,F_Dys,F04S,02,0001,en,Shoot.
../../data/torgo-audio/F_Dys/wav_arrayMic_F04S02/wav_arrayMic_F04S02_0002.wav,F_Dys,F04S,02,0002,en,I looked up and noticed two old men.
../../data/torgo-audio/F_Dys/wav_arrayMic_F04S02/wav_arrayMic_F04S02_0003.wav,F_Dys,F04S,02,0003,en,flay
../../data/torgo-audio/F_Dys/wav_arrayMic_F04S02/wav_arrayMic_F04S02_0004.wav,F_Dys,F04S,02,0004,en,Will a robin wear a yellow lily?
../../data/torgo-audio/F_Dys/wav_arrayMic_F04S02/wav_arrayMic_F04S02_0005.wav,F_Dys,F04S,02,0005,en,I was conscious all the time.
../../data/torgo-audio/F_Dys/wav_arrayMic_F03S03/wav_arrayMic_F03S03_0001.wav,F_Dys,F03S,03,0001,en,Trespassers can be persecuted and found.
../../data/torgo-audio/F_Dys/wav_arrayMic_F03S03/wav_arrayMic_F03S03_0003.wav,F_Dys,F03S,03,0003,en,Sitter.
../../data/torgo-audio/F_Dys/wav_arrayMic_F03S03/wav_arrayMic_F03S03_0004.wav,F_Dys,F03S,03,0004,en,Rock.
../../data/torgo-audio/F_Dys/wav_arrayMic_F03S03/wav_arrayMic_F03S03_0005.wav,F_Dys,F03S,03,0005,en,sharp
../../data/torgo-audio/F_Dys/wav_arrayMic_F03S03/wav_arrayMic_F03S03_0006.wav,F_Dys,F03S,03,0006,en,Nice.
../../data/torgo-audio/F_Dys/wav_arrayMic_F01/wav_arrayMic_F01_0001.wav,F_Dys,F01,,0001,en,The
../../data/torgo-audio/F_Dys/wav_arrayMic_F01/wav_arrayMic_F01_0002.wav,F_Dys,F01,,0002,en,The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The
../../data/torgo-audio/F_Dys/wav_arrayMic_F01/wav_arrayMic_F01_0003.wav,F_Dys,F01,,0003,en,"I'm going to go, my god, my god, my god, my god, my god, my god, my god."
../../data/torgo-audio/F_Dys/wav_arrayMic_F01/wav_arrayMic_F01_0004.wav,F_Dys,F01,,0004,en,"Yip-haw, yip-haw, yip-haw, yip-haw, yip-haw."
../../data/torgo-audio/F_Dys/wav_arrayMic_F01/wav_arrayMic_F01_0005.wav,F_Dys,F01,,0005,en,The curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve curve
../../data/torgo-audio/F_Dys/wav_arrayMic_F03S02/wav_arrayMic_F03S02_0001.wav,F_Dys,F03S,02,0001,en,Beer.
../../data/torgo-audio/F_Dys/wav_arrayMic_F03S02/wav_arrayMic_F03S02_0002.wav,F_Dys,F03S,02,0002,en,No.
../../data/torgo-audio/F_Dys/wav_arrayMic_F03S02/wav_arrayMic_F03S02_0003.wav,F_Dys,F03S,02,0003,en,So
../../data/torgo-audio/F_Dys/wav_arrayMic_F03S02/wav_arrayMic_F03S02_0004.wav,F_Dys,F03S,02,0004,en,Gabe
../../data/torgo-audio/F_Dys/wav_arrayMic_F03S02/wav_arrayMic_F03S02_0005.wav,F_Dys,F03S,02,0005,en,Looper.
../../data/torgo-audio/F_Dys/wav_arrayMic_F03S01/wav_arrayMic_F03S01_0001.wav,F_Dys,F03S,01,0001,en,The
../../data/torgo-audio/F_Dys/wav_arrayMic_F03S01/wav_arrayMic_F03S01_0002.wav,F_Dys,F03S,01,0002,en,The
../../data/torgo-audio/F_Dys/wav_arrayMic_F03S01/wav_arrayMic_F03S01_0003.wav,F_Dys,F03S,01,0003,en,Thank you.
../../data/torgo-audio/F_Dys/wav_arrayMic_F03S01/wav_arrayMic_F03S01_0004.wav,F_Dys,F03S,01,0004,en,Protesting cat Protesting cat Protesting cat Protesting cat Protesting cat Protesting cat Protesting cat
../../data/torgo-audio/F_Dys/wav_arrayMic_F03S01/wav_arrayMic_F03S01_0005.wav,F_Dys,F03S,01,0005,es,pedida
../../data/torgo-audio/F_Dys/wav_arrayMic_F04S01/wav_arrayMic_F04S01_0001.wav,F_Dys,F04S,01,0001,en,The
../../data/torgo-audio/F_Dys/wav_arrayMic_F04S01/wav_arrayMic_F04S01_0002.wav,F_Dys,F04S,01,0002,en,The pop
../../data/torgo-audio/F_Dys/wav_arrayMic_F04S01/wav_arrayMic_F04S01_0003.wav,F_Dys,F04S,01,0003,en,The We'll see you next time.
../../data/torgo-audio/F_Dys/wav_arrayMic_F04S01/wav_arrayMic_F04S01_0004.wav,F_Dys,F04S,01,0004,en,Opi Opi Opi Opi Opi Opi Opi Opi Opi Opi Opi Opi Opi Opi Opi Opi Opi Opi Opi Opi Opi Opi
../../data/torgo-audio/F_Dys/wav_arrayMic_F04S01/wav_arrayMic_F04S01_0005.wav,F_Dys,F04S,01,0005,en,The See you next time.
../../data/torgo-audio/F_Con/wav_arrayMic_FC01S01/wav_arrayMic_FC01S01_0001.wav,F_Con,FC01,S01,0001,en,The
